Knesset,Party,Name,Gender,Age,Birth Year,Birth Name,Hebraized Name?,Birthplace,Type of Birth Locality,Birth Region,Birth Country,Birth Country (Present),Date of Immigration,Community,Notes
1949-1951,Mapai,Ada Maimon,Female,55,1893,Ada Fishman,1,Mărculești,Rural Community,Bessarabia Governorate,Russian Empire,Moldova,1912,Ashkenazi,
1949-1951,Mapai,Golda Meir,Female,50,1898,Golda Mabovitch,1,Kiev,City,Kiev Governorate,Russian Empire,Ukraine,1921,Ashkenazi,
1949-1951,Mapai,Peretz Naftali,Male,60,1888,Fritz Naftali,1,Berlin,City,Kingdom of Prussia,German Empire,Germany,1933,Ashkenazi,
1949-1951,Mapai,Dvora Netzer,Female,51,1897,Dvora Nosovistzky ,1,Mena,Town,Chernigov Governorate,Russian Empire,Ukraine,1925,Ashkenazi,
1949-1951,Mapai,David Remez,Male,62,1886,David Drabkin,1,Kopys,Village,Mogilev Governorate,Russian Empire,Belarus,1913,Ashkenazi,
1949-1951,Mapai,Moshe Sharett,Male,54,1894,Moshe Chertok,1,Kherson,City,Kherson Governorate,Russian Empire,Ukraine,1906,Ashkenazi,
1949-1951,Mapai,Zalman Shazar,Male,59,1889,Shneur Zalman Rubashov,1,Mir,Town,Minsk Governorate,Russian Empire,Belarus,1924,Ashkenazi,
1949-1951,Mapai,Aryeh Sheftel,Male,43,1905,unknown,unknown,Vilnius,City,Vilna Governorate,Russian Empire,Lithuania,1947,Ashkenazi,
1949-1951,Mapai,Reuven Shari,Male,45,1903,Reuven Shraibman,1,Comrat,Town,Bessarabia Governorate,Russian Empire,Moldova,1925,Ashkenazi,
1949-1951,Mapai,Yosef Sprinzak,Male,63,1885,Yosef Sprinzak,0,Moscow,City,Moscow Governorate,Russian Empire,Russia,1910,Ashkenazi,
1949-1951,Mapai,Yizhar Smilansky,Male,32,1916,Yizhar Smilansky,0,Rehovot,Rural Community,Mutassarifate of Jerusalem,Ottoman Empire,Israel,-,Ashkenazi,
1949-1951,Mapai,Yehudit Simhonit,Female,47,1902,Yehudit Zevzrichin,1,Nahar-Tov,Rural Community,Kherson Governorate,Russian Empire,Ukraine,1921,Ashkenazi,
1949-1951,Mapai,Efraim Taburi,Male,48,1900,Efraim Popik,1,Tulchyn,Town,Podolsk Governorate,Russian Empire,Ukraine,1924,Ashkenazi,
1949-1951,Mapai,Avraham Taviv,Male,59,1889,unknown,unknown,Haidan al-Sham,Town,Yemen Vilayet,Ottoman Empire,Yemen,1908,Mizrahi,
1949-1951,Mapai,Zvi Yehuda,Male,61,1887,Zvi Zaltzman,1,Uman,City,Podolsk Governorate,Russian Empire,Ukraine,1906,Ashkenazi,
1949-1951,Mapai,Dov Yosef,Male,49,1899,Bernard Joseph,1,Montreal,City,Province of Quebec,Canada,Canada,1918,Ashkenazi ,
1949-1951,Mapam,Moshe Aram,Male,52,1896,Moshe Kazanovksi,1,Lyady,Town,Mogilev Governorate,Russian Empire,Belarus,1924,Ashkenazi ,
1949-1951,Mapam,Menachem Bader,Male,53,1895,Menachem Bader,0,Dukla,Town,Kingdom of Galicia and Lodomeria,Austrian Empire,Poland,1920,Ashkenazi ,
1949-1951,Mapam,Dov Bar-Nir,Male,37,1911,Bernard Silberschatz,1,Brussels,City,Brabant Province,Kingdom of Belgium,Belgium,1932,Ashkenazi ,
1949-1951,Mapam,Yisrael Bar-Yehuda,Male,53,1895,Yisrael Idelson,1,Konotop,Town,Chernigov Governorate,Russian Empire,Ukraine,1926,Ashkenazi ,
1949-1951,Mapam,Yitzhak Ben-Aharon,Male,42,1906,Yitzhak Nussenbaum,1,Busancz,unknown,Duchy of Bukovina,Austrian Empire,Romania,1928,Ashkenazi ,
1949-1951,Mapam,Mordechai Bentov,Male,48,1900,Mordechai Gutgeld,1,Grodzisk Mazowiecki,Town,Warsaw Governorate,Congress Poland,Poland,1920,Ashkenazi ,
1949-1951,Mapam,Yaakov Hazan,Male,49,1899,Yaakov Hazan,0,Brest-Litovsk,City,Grodno Governorate,Russian Empire,Belarus,1923,Ashkenazi ,
1949-1951,Mapam,Yisrael Galili,Male,37,1911,Yisrael Berchenko,1,Brailiv,Town,Podolsk Governorate,Russian Empire,Ukraine,1914,Ashkenazi ,
1949-1951,Mapam,Fayge Ilanit,Female,39,1909,Fayge Hindes,1,Brańsk,Town,Grodno Governorate,Russian Empire,Poland,1929,Ashkenazi ,
1949-1951,Mapam,Hannah Lamdan,Male,43,1905,Hannah Lerner,1,Shyrivtsi,Village,Bessarabia Governorate,Russian Empire,Moldova,1926,Ashkenazi,
1949-1951,Mapam,Nahum Nir,Male,64,1884,Nahum Rafalkes,1,Warsaw,City,Warsaw Governorate,Congress Poland,Poland,1925,Ashkenazi,
1949-1951,Mapam,Eliezer Peri,Male,46,1902,Eliezer Wilder-Frei,1,Surochów,Village,Kingdom of Galicia and Lodomeria,Austrian Empire,Poland,1926,Ashkenazi,
1949-1951,Mapam,Berl Repetur,Male,46,1902,unknown,unknown,Ruzhyn,Town,Volhynia Governorate,Russian Empire,Ukraine,1920,Ashkenazi,
1949-1951,Mapam,Ya'akov Riftin,Male,41,1907,Ya'akov Riftin,0,Wólka Profecka ,Village,Lublin Governorate,Congress Poland,Poland,1929,Ashkenazi,
